rating_date,rating
2016-07-30,2071.6370
2016-07-17,2047.8570
2016-04-14,2033.2060
2016-04-10,2078.9830
2016-04-08,2073.4300
2016-04-06,2050.4480
2016-03-20,2022.8850
2016-02-13,2007.3230
2016-01-17,2013.5030
2015-10-11,2005.8150
2015-08-28,1996.7390
2015-08-26,1990.6080
2015-08-02,1995.3710
2015-03-15,1973.6910
2015-03-11,1989.8490
2015-03-08,1981.6310
2015-01-25,1994.5820
2014-10-12,2019.4640
2014-08-17,2019.2160
2014-07-13,2004.6730
2014-06-15,1992.5650
2014-05-25,1981.0110
2014-05-21,1956.2270
2014-05-18,1933.1980
2014-04-27,1964.9080
2014-03-30,1989.9060
2014-03-27,1981.7260
2014-02-08,1959.5580
2014-01-19,1951.9050
2013-11-16,1927.3720
2013-10-20,1917.0530
2013-09-21,1900.3740
2013-08-31,1879.1230
2013-08-11,1869.9530
2013-08-09,1865.3760
2013-07-14,1866.2680
2013-06-23,1835.6080
2013-05-12,1853.0960
2013-04-14,1872.8780
2013-04-11,1911.3280
2013-04-07,1893.0460
2013-02-24,1904.4040
2013-02-21,1924.3280
2013-01-27,1928.5930
2012-12-29,1917.9980
2012-10-21,1936.8290
2012-08-12,1906.1580
2012-07-29,1872.9080
2012-06-21,1836.7520
2012-06-10,1834.9080
2012-06-06,1827.6870
2012-06-05,1804.7890
2012-06-03,1772.1860
2012-05-06,1857.9720
2012-04-01,1838.4650
2012-03-18,1811.9490
2012-02-19,1791.7310
2011-12-08,1781.5200
2011-10-29,1775.8880
2011-10-23,1769.4120
2011-09-25,1881.1390
2011-08-14,1880.9640
2011-07-11,1850.7150
2011-06-05,1833.3930
2011-05-01,1806.5460
2011-04-28,1826.2670
2011-03-20,1813.0170
2011-02-20,1775.5150
2010-10-03,1756.0140
2010-08-15,1773.3550
2010-07-18,1699.9430
2010-06-13,1709.2110
2010-05-23,1659.5520
2010-05-19,1670.4340
2010-05-08,1785.4820
2010-04-25,1794.5720
2010-04-22,1819.7330
2010-04-18,1798.6150
2010-02-27,1825.8470
2010-02-06,1810.6250
2009-10-04,1805.9070
2009-09-25,1794.9780
2009-08-16,1783.8480
2009-07-11,1722.8590
2009-06-14,1684.1780
2009-04-24,1651.2870
2009-04-23,1700.5420
2009-04-04,1668.4680
2009-03-13,1661.0780
2009-03-11,1659.9130
2008-11-09,1651.5100
2008-10-03,1793.1140
2008-09-12,1830.7510
2008-09-10,1819.8370
2008-08-14,1809.9150
2008-07-19,1778.6090
2008-06-06,1770.8210
2008-04-25,1757.6790
2008-03-28,1835.5190
2007-10-24,1814.4900
2007-10-11,1799.8460
2007-09-27,1806.5240
2007-08-11,1788.4420
2007-04-27,1819.6490
2007-04-01,1859.3420
2007-03-28,1853.8200
2006-11-05,1848.7190
2006-09-27,1840.4480
2006-08-17,1836.1040
2006-07-28,1822.3220
2006-07-09,1872.9280
2005-11-17,1871.9160
2005-08-11,1856.8180
2005-08-06,1846.2800
2005-04-29,1844.0180
2004-10-14,1916.8950
2004-09-09,1903.4500
2004-08-07,1903.9280
2003-10-16,1896.1480
2003-09-12,1930.0950
2002-10-29,1885.8680
2002-06-21,1935.0830
2001-10-25,1876.9890
2001-06-22,1897.5620
2000-10-25,1682.1090
1999-07-26,1100.0000
1998-02-05,1689.5540
1997-05-04,1356.9660
1996-10-01,1303.9940
1995-05-03,1089.9920
1994-05-01,1182.0570
